"Step","Group: DCBRBM_cd_qed_v1_aux_True - train/fe_diff","Group: DCBRBM_cd_qed_v1_aux_True - train/fe_diff__MIN","Group: DCBRBM_cd_qed_v1_aux_True - train/fe_diff__MAX","Group: CGBRBM_cd_qed_v1_aux_True - train/fe_diff","Group: CGBRBM_cd_qed_v1_aux_True - train/fe_diff__MIN","Group: CGBRBM_cd_qed_v1_aux_True - train/fe_diff__MAX"
"213","0.2017383575439453","0.1761322021484375","0.22734451293945312","-1.4104499816894531","-1.4672355651855469","-1.3536643981933594"
"215","0.19795989990234375","0.17549514770507812","0.22042465209960938","-1.4152717590332031","-1.46142578125","-1.3691177368164062"
"217","0.19616317749023438","0.1737213134765625","0.21860504150390625","-1.4343738555908203","-1.4759674072265625","-1.3927803039550781"
"219","0.19652366638183594","0.17349624633789062","0.21955108642578125","-1.4288253784179688","-1.466278076171875","-1.3913726806640625"
"221","0.19400596618652344","0.16887283325195312","0.21913909912109375","-1.42462158203125","-1.4761085510253906","-1.3731346130371094"
"223","0.19202613830566406","0.16760635375976562","0.2164459228515625","-1.4278888702392578","-1.4801750183105469","-1.3756027221679688"
"225","0.19123077392578125","0.169219970703125","0.2132415771484375","-1.4473285675048828","-1.4821662902832031","-1.4124908447265625"
"227","0.18786239624023438","0.166168212890625","0.20955657958984375","-1.4325923919677734","-1.4722747802734375","-1.3929100036621094"
"229","0.18809890747070312","0.1680908203125","0.20810699462890625","-1.45941162109375","-1.5258674621582031","-1.3929557800292969"
"231","0.18656539916992188","0.16426467895507812","0.20886611938476562","-1.448709487915039","-1.4950942993164062","-1.4023246765136719"
"233","0.1848163604736328","0.16332626342773438","0.20630645751953125","-1.4654617309570312","-1.5113868713378906","-1.4195365905761719"
"235","0.18392181396484375","0.1632537841796875","0.20458984375","-1.4535961151123047","-1.5020256042480469","-1.4051666259765625"
"237","0.1824188232421875","0.16261672973632812","0.20222091674804688","-1.4503002166748047","-1.4868011474609375","-1.4137992858886719"
"239","0.18054771423339844","0.16181564331054688","0.19927978515625","-1.4810123443603516","-1.5311279296875","-1.4308967590332031"
"241","0.17784881591796875","0.15752410888671875","0.19817352294921875","-1.4846000671386719","-1.51947021484375","-1.4497299194335938"
"243","0.17761611938476562","0.15850067138671875","0.1967315673828125","-1.4758682250976562","-1.5176124572753906","-1.4341239929199219"
"245","0.1762714385986328","0.15737533569335938","0.19516754150390625","-1.4695243835449219","-1.5086288452148438","-1.430419921875"
"247","0.17436790466308594","0.15616607666015625","0.19256973266601562","-1.4659156799316406","-1.5078048706054688","-1.4240264892578125"
"249","0.17348289489746094","0.1542816162109375","0.19268417358398438","-1.4841957092285156","-1.5121383666992188","-1.4562530517578125"
"251","0.17273902893066406","0.15557098388671875","0.18990707397460938","-1.4923324584960938","-1.5358161926269531","-1.4488487243652344"
"253","0.16939163208007812","0.1520233154296875","0.18675994873046875","-1.4831295013427734","-1.5285186767578125","-1.4377403259277344"
"255","0.1681499481201172","0.1508941650390625","0.18540573120117188","-1.4621505737304688","-1.4920845031738281","-1.4322166442871094"
"257","0.168426513671875","0.15279388427734375","0.18405914306640625","-1.475900650024414","-1.494964599609375","-1.4568367004394531"
"259","0.16474342346191406","0.147430419921875","0.18205642700195312","-1.4835700988769531","-1.515777587890625","-1.4513626098632812"
"261","0.16456222534179688","0.149078369140625","0.18004608154296875","-1.4889163970947266","-1.5186614990234375","-1.4591712951660156"
"263","0.16365432739257812","0.14655303955078125","0.180755615234375","-1.485952377319336","-1.5313491821289062","-1.4405555725097656"
"265","0.16220474243164062","0.14902496337890625","0.175384521484375","-1.5031414031982422","-1.5400886535644531","-1.4661941528320312"
"267","0.16030502319335938","0.14573287963867188","0.17487716674804688","-1.4989814758300781","-1.5164413452148438","-1.4815216064453125"
"269","0.160064697265625","0.14587783813476562","0.17425155639648438","-1.4882831573486328","-1.4957084655761719","-1.4808578491210938"
"271","0.1577320098876953","0.14341354370117188","0.17205047607421875","-1.5114154815673828","-1.5364608764648438","-1.4863700866699219"
"273","0.1571044921875","0.14358139038085938","0.17062759399414062","-1.5069904327392578","-1.5302581787109375","-1.4837226867675781"
"275","0.15494537353515625","0.14236068725585938","0.16753005981445312","-1.4967708587646484","-1.5124244689941406","-1.4811172485351562"
"277","0.1546611785888672","0.1409912109375","0.16833114624023438","-1.4857959747314453","-1.5143089294433594","-1.4572830200195312"
"279","0.1546764373779297","0.1424713134765625","0.16688156127929688","-1.5070552825927734","-1.5349998474121094","-1.4791107177734375"
"281","0.1533374786376953","0.14091110229492188","0.16576385498046875","-1.4991340637207031","-1.523406982421875","-1.4748611450195312"
"283","0.15081214904785156","0.1390228271484375","0.16260147094726562","-1.4951171875","-1.5327606201171875","-1.4574737548828125"
"285","0.15033721923828125","0.13716888427734375","0.16350555419921875","-1.510284423828125","-1.5247840881347656","-1.4957847595214844"
"287","0.14884185791015625","0.13675308227539062","0.16093063354492188","-1.5006523132324219","-1.5253982543945312","-1.4759063720703125"
"289","0.1487598419189453","0.13696670532226562","0.160552978515625","-1.5026798248291016","-1.5306625366210938","-1.4746971130371094"
"291","0.14691925048828125","0.1380157470703125","0.15582275390625","-1.4945316314697266","-1.5098800659179688","-1.4791831970214844"
"293","0.14548683166503906","0.13414382934570312","0.156829833984375","-1.520477294921875","-1.5535469055175781","-1.4874076843261719"
"295","0.1463298797607422","0.13657379150390625","0.15608596801757812","-1.5261077880859375","-1.535125732421875","-1.51708984375"
"297","0.14422988891601562","0.1339569091796875","0.15450286865234375","-1.5057125091552734","-1.5306053161621094","-1.4808197021484375"
"299","0.14412689208984375","0.1344757080078125","0.153778076171875","-1.5057754516601562","-1.5316238403320312","-1.4799270629882812"
"301","0.14096832275390625","0.13043212890625","0.1515045166015625","-1.5205860137939453","-1.5506515502929688","-1.4905204772949219"
"303","0.14186668395996094","0.13301849365234375","0.15071487426757812","-1.522146224975586","-1.5427131652832031","-1.5015792846679688"
"305","0.13885116577148438","0.13120651245117188","0.14649581909179688","-1.5178031921386719","-1.548370361328125","-1.4872360229492188"
"307","0.13763427734375","0.13029861450195312","0.14496994018554688","-1.505910873413086","-1.5406150817871094","-1.4712066650390625"
"309","0.13814926147460938","0.12962722778320312","0.14667129516601562","-1.5050716400146484","-1.5418930053710938","-1.4682502746582031"
"311","0.13542747497558594","0.128631591796875","0.14222335815429688","-1.5154285430908203","-1.5325355529785156","-1.498321533203125"
"313","0.1349964141845703","0.12747573852539062","0.14251708984375","-1.520029067993164","-1.5343894958496094","-1.5056686401367188"
"315","0.13584327697753906","0.12800979614257812","0.1436767578125","-1.520477294921875","-1.5597000122070312","-1.4812545776367188"
"317","0.13548851013183594","0.1295166015625","0.14146041870117188","-1.5141220092773438","-1.5309906005859375","-1.49725341796875"
"319","0.1340160369873047","0.12609481811523438","0.141937255859375","-1.5062789916992188","-1.5334281921386719","-1.4791297912597656"
"321","0.1308135986328125","0.12465667724609375","0.13697052001953125","-1.5127601623535156","-1.5168075561523438","-1.5087127685546875"
"323","0.13053131103515625","0.12443161010742188","0.13663101196289062","-1.509073257446289","-1.5296669006347656","-1.4884796142578125"
"325","0.12882423400878906","0.12264633178710938","0.13500213623046875","-1.5232582092285156","-1.5485458374023438","-1.4979705810546875"
"327","0.12768173217773438","0.12319183349609375","0.132171630859375","-1.5216617584228516","-1.5400733947753906","-1.5032501220703125"
"329","0.1273632049560547","0.12152481079101562","0.13320159912109375","-1.5100345611572266","-1.5254096984863281","-1.494659423828125"
"331","0.12821006774902344","0.12306594848632812","0.13335418701171875","-1.5322418212890625","-1.5453643798828125","-1.5191192626953125"
"333","0.12703514099121094","0.12092208862304688","0.133148193359375","-1.4887962341308594","-1.5043182373046875","-1.4732742309570312"
"335","0.12419891357421875","0.12020111083984375","0.12819671630859375","-1.5210456848144531","-1.5455894470214844","-1.4965019226074219"
"337","0.12444877624511719","0.12003707885742188","0.1288604736328125","-1.502777099609375","-1.5146217346191406","-1.4909324645996094"
"339","0.12376785278320312","0.12016677856445312","0.12736892700195312","-1.5151100158691406","-1.5305900573730469","-1.4996299743652344"
"341","0.12160682678222656","0.11687469482421875","0.12633895874023438","-1.5191020965576172","-1.5254096984863281","-1.5127944946289062"
"343","0.12329864501953125","0.12070465087890625","0.12589263916015625","-1.505401611328125","-1.5069961547851562","-1.5038070678710938"
"345","0.12116241455078125","0.11675262451171875","0.12557220458984375","-1.5107669830322266","-1.5254478454589844","-1.4960861206054688"
"347","0.12031173706054688","0.11560440063476562","0.12501907348632812","-1.5163097381591797","-1.5476341247558594","-1.4849853515625"
"349","0.12018013000488281","0.11857223510742188","0.12178802490234375","-1.513916015625","-1.5416717529296875","-1.4861602783203125"
"351","0.11902999877929688","0.11571884155273438","0.12234115600585938","-1.495401382446289","-1.5186958312988281","-1.47210693359375"
"353","0.11715507507324219","0.11526107788085938","0.119049072265625","-1.4969806671142578","-1.5068855285644531","-1.4870758056640625"
"355","0.11630058288574219","0.11381149291992188","0.1187896728515625","-1.5070858001708984","-1.5156211853027344","-1.4985504150390625"
"357","0.11581039428710938","0.11463546752929688","0.11698532104492188","-1.4921436309814453","-1.5071525573730469","-1.4771347045898438"
"359","0.11521530151367188","0.11264419555664062","0.11778640747070312","-1.5051651000976562","-1.5355262756347656","-1.4748039245605469"
"361","0.11351203918457031","0.11310958862304688","0.11391448974609375","-1.4958229064941406","-1.5314750671386719","-1.4601707458496094"
"363","0.11252212524414062","0.11062240600585938","0.11442184448242188","-1.4944934844970703","-1.496185302734375","-1.4928016662597656"
"365","0.11199188232421875","0.10990524291992188","0.11407852172851562","-1.4683151245117188","-1.4683914184570312","-1.4682388305664062"
"367","0.11130332946777344","0.11091232299804688","0.1116943359375","-1.493947982788086","-1.5053215026855469","-1.482574462890625"
"369","0.11058425903320312","0.1103363037109375","0.11083221435546875","-1.5021095275878906","-1.5098915100097656","-1.4943275451660156"
"371","0.11016845703125","0.10975265502929688","0.11058425903320312","-1.4763431549072266","-1.4770240783691406","-1.4756622314453125"
"373","0.10889816284179688","0.10861968994140625","0.1091766357421875","-1.4784088134765625","-1.4977493286132812","-1.4590682983398438"
"375","0.10938072204589844","0.108306884765625","0.11045455932617188","-1.5061664581298828","-1.5064353942871094","-1.5058975219726562"
"377","0.108917236328125","0.108551025390625","0.109283447265625","-1.4912376403808594","-1.4978828430175781","-1.4845924377441406"
"379","0.10683250427246094","0.10583877563476562","0.10782623291015625","-1.479990005493164","-1.4840316772460938","-1.4759483337402344"
"381","0.1063079833984375","0.10555648803710938","0.10705947875976562","-1.4819622039794922","-1.4891586303710938","-1.4747657775878906"
"383","0.10523033142089844","0.10416793823242188","0.106292724609375","-1.4763736724853516","-1.5053939819335938","-1.4473533630371094"
"385","0.10445594787597656","0.10225296020507812","0.106658935546875","-1.4836788177490234","-1.487060546875","-1.4802970886230469"
"387","0.10468482971191406","0.1024322509765625","0.10693740844726562","-1.4968852996826172","-1.5067901611328125","-1.4869804382324219"
"389","0.10312461853027344","0.10194778442382812","0.10430145263671875","-1.4891014099121094","-1.4979896545410156","-1.4802131652832031"
"391","0.1029510498046875","0.10142135620117188","0.10448074340820312","-1.4913501739501953","-1.5118598937988281","-1.4708404541015625"
"393","0.10140419006347656","0.099456787109375","0.10335159301757812","-1.4729385375976562","-1.4750709533691406","-1.4708061218261719"
"395","0.10183334350585938","0.10053634643554688","0.10313034057617188","-1.4789161682128906","-1.4858474731445312","-1.47198486328125"
"397","0.10138320922851562","0.09954071044921875","0.1032257080078125","-1.462921142578125","-1.4682464599609375","-1.4575958251953125"
"399","0.09906768798828125","0.09790420532226562","0.10023117065429688","-1.465127944946289","-1.4695281982421875","-1.4607276916503906"
